,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
30,,1024,2024-01-12 00:00:00,Jessica Martinez,2024-01-17 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
31,,1025,2024-01-13 00:00:00,David Wilson,2024-01-17 00:00:00,149.99,1,14.999000000000002,164.989
32,,1026,2024-01-13 00:00:00,Sarah Smith,2024-01-14 00:00:00,69.99,2,13.998,153.97799999999998
33,,1027,2024-01-14 00:00:00,Matthew Johnson,2024-01-18 00:00:00,39.99,3,11.997,131.96699999999998
34,,1028,2024-01-14 00:00:00,Emily Davis,2024-01-19 00:00:00,199.99,1,19.999000000000002,219.989
35,,1029,2024-01-15 00:00:00,Daniel Wilson,2024-01-19 00:00:00,29.99,5,14.995,164.945
36,,1030,2024-01-15 00:00:00,Jennifer Martinez,2024-01-19 00:00:00,79.99,2,15.998,175.97799999999998
37,,1031,2024-01-16 00:00:00,Michael Smith,2024-01-19 00:00:00,49.99,3,14.997,164.96699999999998
38,,1032,2024-01-16 00:00:00,Jessica Johnson,2024-01-17 00:00:00,129.99,1,12.999000000000002,142.989
39,,1033,2024-01-17 00:00:00,David Brown,2024-01-19 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
40,,1034,2024-01-17 00:00:00,Sarah Garcia,2024-01-19 00:00:00,149.99,1,14.999000000000002,164.989
41,,1035,2024-01-18 00:00:00,Matthew Hernandez,2024-01-23 00:00:00,69.99,2,13.998,153.97799999999998
42,,1036,2024-01-18 00:00:00,Emily Rodriguez,2024-01-19 00:00:00,39.99,3,11.997,131.96699999999998
43,,1037,2024-01-19 00:00:00,Daniel Davis,2024-01-20 00:00:00,199.99,1,19.999000000000002,219.989
44,,1038,2024-01-19 00:00:00,Jennifer Smith,2024-01-22 00:00:00,29.99,5,14.995,164.945
45,,1039,2024-01-20 00:00:00,Michael Johnson,2024-01-24 00:00:00,79.99,2,15.998,175.97799999999998
46,,1040,2024-01-20 00:00:00,Jessica Martinez,2024-01-21 00:00:00,49.99,3,14.997,164.96699999999998
47,,1041,2024-01-21 00:00:00,David Wilson,2024-01-26 00:00:00,129.99,1,12.999000000000002,142.989
48,,1042,2024-01-21 00:00:00,Sarah Johnson,2024-01-23 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
49,,1043,2024-01-22 00:00:00,Matthew Garcia,2024-01-25 00:00:00,149.99,1,14.999000000000002,164.989
50,,1044,2024-01-22 00:00:00,Emily Brown,2024-01-25 00:00:00,69.99,2,13.998,153.97799999999998
51,,1045,2024-01-23 00:00:00,Daniel Hernandez,2024-01-27 00:00:00,39.99,3,11.997,131.96699999999998
52,,1046,2024-01-23 00:00:00,Jennifer Davis,2024-01-26 00:00:00,199.99,1,19.999000000000002,219.989
53,,1047,2024-01-24 00:00:00,Michael Martinez,2024-01-25 00:00:00,29.99,5,14.995,164.945
54,,1048,2024-01-24 00:00:00,Jessica Wilson,2024-01-26 00:00:00,79.99,2,15.998,175.97799999999998
55,,1049,2024-01-25 00:00:00,David Rodriguez,2024-01-30 00:00:00,49.99,3,14.997,164.96699999999998
56,,1050,2024-01-25 00:00:00,Sarah Gonzalez,2024-01-27 00:00:00,129.99,1,12.999000000000002,142.989
57,,1051,2024-01-26 00:00:00,Matthew Smith,2024-01-29 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
58,,1052,2024-01-26 00:00:00,Emily Johnson,2024-01-28 00:00:00,149.99,1,14.999000000000002,164.989
59,,1053,2024-01-27 00:00:00,Daniel Brown,2024-01-31 00:00:00,69.99,2,13.998,153.97799999999998
60,,1054,2024-01-27 00:00:00,Jennifer Hernandez,2024-01-31 00:00:00,39.99,3,11.997,131.96699999999998
61,,1055,2024-01-28 00:00:00,Michael Davis,2024-01-29 00:00:00,199.99,1,19.999000000000002,219.989
62,,1056,2024-01-28 00:00:00,Jessica Smith,2024-01-29 00:00:00,29.99,5,14.995,164.945
63,,1057,2024-01-29 00:00:00,David Martinez,2024-01-30 00:00:00,79.99,2,15.998,175.97799999999998
64,,1058,2024-01-29 00:00:00,Sarah Johnson,2024-01-31 00:00:00,49.99,3,14.997,164.96699999999998
65,,1059,2024-01-30 00:00:00,Matthew Garcia,2024-01-31 00:00:00,129.99,1,12.999000000000002,142.989
66,,1060,2024-01-30 00:00:00,Emily Brown,2024-02-01 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
67,,1061,2024-01-31 00:00:00,Daniel Hernandez,2024-02-02 00:00:00,149.99,1,14.999000000000002,164.989
68,,1062,2024-01-31 00:00:00,Jennifer Davis,2024-02-04 00:00:00,69.99,2,13.998,153.97799999999998
69,,1063,2024-02-01 00:00:00,Michael Martinez,2024-02-02 00:00:00,39.99,3,11.997,131.96699999999998
70,,1064,2024-02-01 00:00:00,Jessica Wilson,2024-02-05 00:00:00,199.99,1,19.999000000000002,219.989
71,,1065,2024-02-01 00:00:00,David Rodriguez,2024-02-03 00:00:00,29.99,5,14.995,164.945
72,,1066,2024-02-02 00:00:00,Sarah Gonzalez,2024-02-06 00:00:00,79.99,2,15.998,175.97799999999998
73,,1067,2024-02-03 00:00:00,Matthew Smith,2024-02-06 00:00:00,49.99,3,14.997,164.96699999999998
74,,1068,2024-02-04 00:00:00,Emily Johnson,2024-02-05 00:00:00,129.99,1,12.999000000000002,142.989
75,,1069,2024-02-04 00:00:00,Daniel Brown,2024-02-08 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
76,,1070,2024-02-04 00:00:00,Jennifer Hernandez,2024-02-07 00:00:00,149.99,1,14.999000000000002,164.989
